0,1,2
147.0,21.0,910.0
147.0,22.0,923.0
147.0,23.0,935.0
147.0,24.0,946.5
147.0,25.0,961.0
147.0,26.0,1048.0
147.0,27.0,1132.0
147.0,28.0,1143.5
147.0,29.0,1155.0
147.0,30.0,1166.5
147.0,31.0,1177.5
147.0,32.0,1192.5
147.0,33.0,1208.5
148.0,15.0,813.0
149.0,15.0,813.0
149.0,16.0,839.5
149.0,17.0,856.0
149.0,18.0,873.0
149.0,19.0,885.5
149.0,20.0,897.5
149.0,21.0,910.0
150.0,15.0,813.0
150.0,16.0,839.5
150.0,17.0,856.0
150.0,18.0,873.0
150.0,19.0,885.5
150.0,20.0,897.5
151.0,15.0,813.0
151.0,16.0,839.5
152.0,15.0,813.0
152.0,16.0,839.5
153.0,15.0,813.0
153.0,16.0,839.5
154.0,15.0,813.0
155.0,15.0,813.0
155.0,16.0,839.5
155.0,17.0,856.0
155.0,18.0,873.0
155.0,19.0,885.5
155.0,20.0,897.5
156.0,15.0,813.0
157.0,15.0,813.0
158.0,15.0,813.0
159.0,15.0,813.0
160.0,15.0,813.0
160.0,16.0,839.5
161.0,15.0,813.0
161.0,16.0,839.5
162.0,16.0,839.5
163.0,16.0,839.5
163.0,17.0,856.0
164.0,16.0,839.5
165.0,16.0,839.5
165.0,17.0,856.0
166.0,16.0,839.5
167.0,16.0,839.5
168.0,16.0,839.5
169.0,16.0,839.5
170.0,17.0,856.0
171.0,17.0,856.0
172.0,17.0,856.0
172.0,18.0,873.0
173.0,17.0,856.0
173.0,18.0,873.0
174.0,17.0,856.0
174.0,18.0,873.0
174.0,19.0,885.5
174.0,20.0,897.5
175.0,17.0,856.0
176.0,17.0,856.0
176.0,18.0,873.0
177.0,17.0,856.0
177.0,18.0,873.0
178.0,17.0,856.0
179.0,17.0,856.0
179.0,18.0,873.0
180.0,17.0,856.0
180.0,18.0,873.0
180.0,19.0,885.5
180.0,20.0,897.5
180.0,21.0,910.0
181.0,17.0,856.0
182.0,17.0,856.0
183.0,18.0,873.0
183.0,19.0,885.5
183.0,20.0,897.5
184.0,18.0,873.0
185.0,18.0,873.0
185.0,19.0,885.5
186.0,18.0,873.0
187.0,18.0,873.0
187.0,19.0,885.5
187.0,20.0,897.5
187.0,21.0,910.0
187.0,22.0,923.0
187.0,23.0,935.0
187.0,24.0,946.5
188.0,18.0,873.0
189.0,18.0,873.0
190.0,18.0,873.0
190.0,19.0,885.5
190.0,20.0,897.5
190.0,21.0,910.0
190.0,22.0,923.0
190.0,23.0,935.0
190.0,24.0,946.5
190.0,25.0,961.0
191.0,19.0,885.5
191.0,20.0,897.5
191.0,21.0,910.0
191.0,22.0,923.0
192.0,19.0,885.5
192.0,20.0,897.5
193.0,19.0,885.5
193.0,20.0,897.5
194.0,19.0,885.5
194.0,20.0,897.5
194.0,21.0,910.0
195.0,20.0,897.5
196.0,20.0,897.5
197.0,20.0,897.5
198.0,20.0,897.5
198.0,21.0,910.0
198.0,22.0,923.0
198.0,23.0,935.0
198.0,24.0,946.5
198.0,25.0,961.0
199.0,20.0,897.5
199.0,21.0,910.0
199.0,22.0,923.0
199.0,23.0,935.0
200.0,20.0,897.5
200.0,21.0,910.0
201.0,20.0,897.5
201.0,21.0,910.0
201.0,22.0,923.0
201.0,23.0,935.0
201.0,24.0,946.5
201.0,25.0,961.0
202.0,20.0,897.5
202.0,21.0,910.0
203.0,21.0,910.0
204.0,21.0,910.0
204.0,22.0,923.0
204.0,23.0,935.0
204.0,24.0,946.5
205.0,21.0,910.0
205.0,22.0,923.0
206.0,21.0,910.0
206.0,22.0,923.0
207.0,21.0,910.0
208.0,21.0,910.0
209.0,22.0,923.0
210.0,22.0,923.0
210.0,23.0,935.0
211.0,22.0,923.0
212.0,22.0,923.0
213.0,22.0,923.0
213.0,23.0,935.0
213.0,24.0,946.5
213.0,25.0,961.0
213.0,26.0,1048.0
213.0,27.0,1132.0
213.0,28.0,1143.5
213.0,29.0,1155.0
213.0,30.0,1166.5
213.0,31.0,1177.5
213.0,32.0,1192.5
213.0,33.0,1208.5
213.0,34.0,1226.0
214.0,22.0,923.0
214.0,23.0,935.0
214.0,24.0,946.5
214.0,25.0,961.0
215.0,23.0,935.0
216.0,23.0,935.0
217.0,23.0,935.0
218.0,23.0,935.0
218.0,24.0,946.5
219.0,23.0,935.0
220.0,23.0,935.0
221.0,23.0,935.0
222.0,24.0,946.5
223.0,24.0,946.5
224.0,24.0,946.5
224.0,25.0,961.0
225.0,24.0,946.5
226.0,25.0,961.0
227.0,25.0,961.0
228.0,25.0,961.0
229.0,25.0,961.0
230.0,25.0,961.0
231.0,25.0,961.0
232.0,25.0,961.0
233.0,25.0,961.0
234.0,25.0,961.0
235.0,25.0,961.0
236.0,25.0,961.0
237.0,25.0,961.0
238.0,26.0,1048.0
238.0,27.0,1132.0
238.0,28.0,1143.5
239.0,26.0,1048.0
239.0,27.0,1132.0
240.0,26.0,1048.0
240.0,27.0,1132.0
240.0,28.0,1143.5
240.0,29.0,1155.0
241.0,26.0,1048.0
242.0,26.0,1048.0
242.0,27.0,1132.0
242.0,28.0,1143.5
242.0,29.0,1155.0
242.0,30.0,1166.5
242.0,31.0,1177.5
242.0,32.0,1192.5
242.0,33.0,1208.5
242.0,34.0,1226.0
242.0,35.0,1261.5
242.0,36.0,1311.5
242.0,37.0,1353.5
242.0,38.0,1378.5
243.0,26.0,1048.0
243.0,27.0,1132.0
243.0,28.0,1143.5
243.0,29.0,1155.0
243.0,30.0,1166.5
243.0,31.0,1177.5
243.0,32.0,1192.5
244.0,26.0,1048.0
244.0,27.0,1132.0
244.0,28.0,1143.5
244.0,29.0,1155.0
244.0,30.0,1166.5
244.0,31.0,1177.5
245.0,26.0,1048.0
245.0,27.0,1132.0
245.0,28.0,1143.5
245.0,29.0,1155.0
245.0,30.0,1166.5
245.0,31.0,1177.5
245.0,32.0,1192.5
245.0,33.0,1208.5
245.0,34.0,1226.0
246.0,26.0,1048.0
247.0,26.0,1048.0
247.0,27.0,1132.0
247.0,28.0,1143.5
247.0,29.0,1155.0
247.0,30.0,1166.5
248.0,26.0,1048.0
248.0,27.0,1132.0
248.0,28.0,1143.5
249.0,26.0,1048.0
250.0,26.0,1048.0
251.0,26.0,1048.0
251.0,27.0,1132.0
251.0,28.0,1143.5
251.0,29.0,1155.0
251.0,30.0,1166.5
251.0,31.0,1177.5
